Id,SystemOwnerId,ConsumptionDate,Consumption,MeterValue,ImdMeterId
CB34E749-D5C1-4BF5-94BA-64097CB0030F,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-21,3900.0000,5050200.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
D35B14DD-A171-48A1-93A4-4D7CB0BEC675,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-22,4800.0000,5055000.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
B316AC53-CD91-4DB5-9DB7-32160BF8C2E5,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-23,4400.0000,5059400.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
E4AC480B-B2DD-4043-A0F4-382348A3E566,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-24,3600.0000,5063000.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
019A0666-64FB-4D2C-A697-A67B6F9A57F1,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-25,3700.0000,5066700.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
8F7937FF-D2B7-4B1F-BA77-A1F38A018189,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-26,4300.0000,5071000.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
9DD4175D-CE96-4A38-BABB-FAFE1399FAD9,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-27,3200.0000,5074200.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
48A509C3-4470-41CF-8509-F8AA20D6885A,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-28,5500.0000,5079700.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
77BAFD0A-59F5-4DF4-B841-63F59B2FC03C,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-29,3900.0000,5083600.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
2F40B24D-F267-45BE-B77F-6839DCB19882,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-30,3400.0000,5087000.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
14031118-7B5A-4847-B25B-48B2496AD117,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2023-12-31,2800.0000,5089800.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
4C6F1043-BEC9-4F41-9F1A-2EECC6D34244,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-01,2900.0000,5092700.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
01144F40-DFAA-48DE-87C2-E090324EC0DC,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-02,8800.0000,5101500.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
A3778EE3-421D-4D22-A8DE-5B14ADFB903C,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-03,3900.0000,5105400.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
38D4A193-A1EB-461C-A9E9-941521011AC0,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-04,2900.0000,5108300.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
1C56E4EE-EE39-44BD-AE15-25C825412F4D,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-05,5100.0000,5113400.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
6DEF2EEC-76C8-47F4-B4C8-A1E7AAAD895E,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-06,3400.0000,5116800.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
2782FF4A-FCBC-4F7F-8E80-32C9AE5DF699,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-07,3100.0000,5119900.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
FB2231D7-A6AA-4743-AFB1-3DE46D9B63B8,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-08,4700.0000,5124600.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
BC18597A-480A-48A1-B018-98D9057E0B96,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-09,5000.0000,5129600.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
FA422921-3376-406C-A51B-37B56B01AA8C,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-10,12100.0000,5141700.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
16C5F1E6-EF34-4651-8743-BC81E8A2146C,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-11,6600.0000,5148300.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
0FE4B51A-4759-4E9F-B0F7-2A9794232D5F,1C7B6C03-481C-4BF9-A8D8-CAA16A6DE399,2024-01-12,9900.0000,5158200.0000,E1F519FD-1564-4E87-9790-6D9BF89D544E
